Employee_ID,Age,first_name,last_name,gender,Department,Job_Role,Education_Level,Marital_Status,Job_Tenure,Distance_From_Home,Gender_Clean,Performance_Rating,Last_Promotion_Year,Training_Hours,Work_Life_Balance,Job_Satisfaction,attrition,Exit_Interview_Score,Attrition_Flag,Years_Since_Promotion,Tenure_Bucket,Age_Group,Distance_Band,Promo_Gap_Bucket,Salary_Band,Exit_Score_Category,Performance_Category,Satisfaction_Category,WLB_Category,Attrition_Risk_Score,Risk_Segment
14,32,Filippa,Focke,Female,HR,HR Specialist,Bachelor's,Divorced,10,48,Female,2,2012,130,3,2,False,,0,12,6–10 yrs,26–35,Far (26–50 km),9–12 yrs,Band 2 – Mid-Low,N/A (Still Employed),Below Average,Low,Fair,3.446,High Risk
15,48,Maitilde,Mapplebeck,Female,Finance,Data Analyst,Bachelor's,Single,6,7,Female,3,2018,85,3,2,False,,0,6,6–10 yrs,46–55,Near (≤10 km),6–8 yrs,Band 2 – Mid-Low,N/A (Still Employed),Average,Low,Fair,2.864,Medium Risk
16,53,Richmond,Cadlock,Male,IT,Manager,PhD,Married,8,38,Male,2,2014,169,2,4,False,,0,10,6–10 yrs,46–55,Far (26–50 km),9–12 yrs,Band 2 – Mid-Low,N/A (Still Employed),Below Average,High,Poor,2.976,High Risk
17,46,Fredra,Chasteney,Female,IT,Manager,Bachelor's,Single,9,12,Female,1,2019,17,3,5,False,,0,5,6–10 yrs,46–55,Medium (11–25 km),3–5 yrs,Band 2 – Mid-Low,N/A (Still Employed),Needs Improvement,Very High,Fair,2.324,Low Risk
18,44,Gifford,Aujean,Male,Operations,HR Specialist,Bachelor's,Married,6,25,Male,2,2018,51,5,1,False,,0,6,6–10 yrs,36–45,Medium (11–25 km),6–8 yrs,Band 1 – Low,N/A (Still Employed),Below Average,Very Low,Excellent,2.9,Medium Risk
19,56,Zelda,Dearth,Female,Marketing,Manager,PhD,Married,11,31,Female,1,2020,104,5,1,False,,0,4,11–20 yrs,55+,Far (26–50 km),3–5 yrs,Band 2 – Mid-Low,N/A (Still Employed),Needs Improvement,Very Low,Excellent,3.012,High Risk
20,46,Massimiliano,Chattelaine,Bigender,IT,Manager,Bachelor's,Divorced,18,42,Non-Binary / Other,1,2012,21,3,2,False,,0,12,11–20 yrs,46–55,Far (26–50 km),9–12 yrs,Band 3 – Mid-High,N/A (Still Employed),Needs Improvement,Low,Fair,3.634,High Risk
21,28,Carly,Ilyuchyov,Male,Finance,HR Specialist,Master's,Divorced,8,45,Male,5,2014,84,1,5,False,,0,10,6–10 yrs,26–35,Far (26–50 km),9–12 yrs,Band 3 – Mid-High,N/A (Still Employed),Outstanding,Very High,Very Poor,2.34,Low Risk
22,52,Corey,Kefford,Male,Finance,HR Specialist,Bachelor's,Single,6,28,Male,4,2017,48,5,5,False,,0,7,6–10 yrs,46–55,Far (26–50 km),6–8 yrs,Band 2 – Mid-Low,N/A (Still Employed),Good,Very High,Excellent,1.356,Low Risk
23,58,Elnar,Clace,Male,HR,Senior Developer,Bachelor's,Single,7,20,Male,2,2014,161,2,5,False,,0,10,6–10 yrs,55+,Medium (11–25 km),9–12 yrs,Band 1 – Low,N/A (Still Employed),Below Average,Very High,Poor,2.64,Medium Risk
24,36,Saleem,Broz,Male,Sales,Data Analyst,Bachelor's,Single,1,37,Male,2,2011,16,3,1,False,,0,13,0–2 yrs,36–45,Far (26–50 km),12+ yrs,Band 1 – Low,N/A (Still Employed),Below Average,Very Low,Fair,3.774,High Risk
25,32,Robinetta,Donnachie,Female,Finance,Marketing Lead,Master's,Divorced,6,9,Female,4,2022,37,2,2,False,,0,2,6–10 yrs,26–35,Near (≤10 km),0–2 yrs,Band 2 – Mid-Low,N/A (Still Employed),Good,Low,Poor,2.718,Medium Risk
26,50,Shepperd,Easlea,Genderfluid,HR,Marketing Lead,Bachelor's,Divorced,9,7,Non-Binary / Other,2,2014,165,4,2,False,,0,10,6–10 yrs,46–55,Near (≤10 km),9–12 yrs,Band 2 – Mid-Low,N/A (Still Employed),Below Average,Low,Good,3.014,High Risk
27,26,Giavani,Surmeyers,Male,Marketing,Data Analyst,Bachelor's,Divorced,4,21,Male,5,2010,64,3,1,False,,0,14,3–5 yrs,26–35,Medium (11–25 km),12+ yrs,Band 2 – Mid-Low,N/A (Still Employed),Outstanding,Very Low,Fair,3.192,High Risk
28,24,Finley,Bromage,Agender,IT,Data Analyst,PhD,Divorced,1,5,Non-Binary / Other,3,2017,90,1,4,False,2.0,0,7,0–2 yrs,18–25,Near (≤10 km),6–8 yrs,Band 1 – Low,High Dissatisfaction,Average,High,Very Poor,2.81,Medium Risk
29,40,Sax,Smallpiece,Male,IT,Data Analyst,Bachelor's,Divorced,5,46,Male,4,2010,140,1,5,False,,0,14,3–5 yrs,36–45,Far (26–50 km),12+ yrs,Band 2 – Mid-Low,N/A (Still Employed),Good,Very High,Very Poor,2.742,Medium Risk
30,23,Joy,Dunan,Female,Finance,HR Specialist,Bachelor's,Single,13,35,Female,4,2013,193,5,3,False,,0,11,11–20 yrs,18–25,Far (26–50 km),9–12 yrs,Band 3 – Mid-High,N/A (Still Employed),Good,Neutral,Excellent,2.17,Low Risk
31,42,Brig,Colter,Male,IT,Marketing Lead,Bachelor's,Married,4,12,Male,3,2014,199,2,3,False,,0,10,3–5 yrs,36–45,Medium (11–25 km),9–12 yrs,Band 1 – Low,N/A (Still Employed),Average,Neutral,Poor,3.024,High Risk
32,38,Maxim,Beven,Male,Marketing,Developer,Master's,Single,11,26,Male,4,2023,140,4,4,False,,0,1,11–20 yrs,36–45,Far (26–50 km),0–2 yrs,Band 3 – Mid-High,N/A (Still Employed),Good,High,Good,1.602,Low Risk
33,28,Ariella,Fewell,Agender,Sales,Developer,PhD,Single,7,45,Non-Binary / Other,1,2019,158,2,2,False,,0,5,6–10 yrs,26–35,Far (26–50 km),3–5 yrs,Band 1 – Low,N/A (Still Employed),Needs Improvement,Low,Poor,3.54,High Risk
34,26,Barnie,Flemmich,Male,Operations,Developer,Bachelor's,Single,10,2,Male,3,2011,192,4,2,False,,0,13,6–10 yrs,26–35,Near (≤10 km),12+ yrs,Band 2 – Mid-Low,N/A (Still Employed),Average,Low,Good,2.954,High Risk
35,43,Ula,Butland,Female,Finance,Senior Developer,PhD,Divorced,15,26,Female,1,2010,98,5,1,False,,0,14,11–20 yrs,36–45,Far (26–50 km),12+ yrs,Band 3 – Mid-High,N/A (Still Employed),Needs Improvement,Very Low,Excellent,3.502,High Risk
36,32,Roddie,Shine,Male,Marketing,Data Analyst,Master's,Divorced,8,36,Male,2,2017,65,3,5,False,,0,7,6–10 yrs,26–35,Far (26–50 km),6–8 yrs,Band 2 – Mid-Low,N/A (Still Employed),Below Average,Very High,Fair,2.272,Low Risk
37,46,Ferdinande,Nolder,Non-binary,Operations,Data Analyst,PhD,Divorced,12,35,Non-Binary / Other,1,2014,106,3,3,False,,0,10,11–20 yrs,46–55,Far (26–50 km),9–12 yrs,Band 2 – Mid-Low,N/A (Still Employed),Needs Improvement,Neutral,Fair,3.22,High Risk
38,32,Miller,Farans,Male,HR,Marketing Lead,PhD,Divorced,12,34,Male,1,2010,159,5,4,False,,0,14,11–20 yrs,26–35,Far (26–50 km),12+ yrs,Band 2 – Mid-Low,N/A (Still Employed),Needs Improvement,High,Excellent,2.618,Medium Risk
39,26,Virgina,Youdell,Female,Sales,Manager,Bachelor's,Divorced,6,32,Female,5,2016,18,4,3,False,,0,8,6–10 yrs,26–35,Far (26–50 km),6–8 yrs,Band 2 – Mid-Low,N/A (Still Employed),Outstanding,Neutral,Good,2.064,Low Risk
40,57,Grazia,Sparshott,Female,Finance,HR Specialist,Master's,Single,17,5,Female,2,2015,178,5,5,False,,0,9,11–20 yrs,55+,Near (≤10 km),9–12 yrs,Band 4 – High,N/A (Still Employed),Below Average,Very High,Excellent,1.81,Low Risk
41,27,Nadya,Kenealy,Female,IT,Marketing Lead,Bachelor's,Married,20,34,Female,5,2020,195,1,1,False,,0,4,11–20 yrs,26–35,Far (26–50 km),3–5 yrs,Band 4 – High,N/A (Still Employed),Outstanding,Very Low,Very Poor,3.218,High Risk
42,43,Beauregard,De Anesy,Male,Finance,Senior Developer,Bachelor's,Divorced,14,38,Male,2,2023,48,3,4,True,1.0,1,1,11–20 yrs,36–45,Far (26–50 km),0–2 yrs,Band 3 – Mid-High,High Dissatisfaction,Below Average,High,Fair,2.276,Low Risk
43,60,Debby,McConaghy,Female,HR,Manager,Bachelor's,Married,3,35,Female,1,2010,107,1,1,False,,0,14,3–5 yrs,55+,Far (26–50 km),12+ yrs,Band 1 – Low,N/A (Still Employed),Needs Improvement,Very Low,Very Poor,4.52,High Risk
44,52,Athene,Georges,Female,IT,Data Analyst,Bachelor's,Divorced,4,46,Female,4,2010,176,3,1,False,,0,14,3–5 yrs,46–55,Far (26–50 km),12+ yrs,Band 1 – Low,N/A (Still Employed),Good,Very Low,Fair,3.442,High Risk
45,23,Wyatan,Klimek,Male,Operations,HR Specialist,Master's,Married,5,42,Male,4,2014,30,1,4,False,,0,10,3–5 yrs,18–25,Far (26–50 km),9–12 yrs,Band 2 – Mid-Low,N/A (Still Employed),Good,High,Very Poor,2.834,Medium Risk
46,49,Ephrayim,Nassey,Male,Sales,Manager,PhD,Single,5,8,Male,4,2012,29,2,4,False,,0,12,3–5 yrs,46–55,Near (≤10 km),9–12 yrs,Band 2 – Mid-Low,N/A (Still Employed),Good,High,Poor,2.616,Medium Risk
47,32,Guinevere,Baudinet,Female,Operations,HR Specialist,Master's,Divorced,7,49,Female,5,2015,67,4,4,False,,0,9,6–10 yrs,26–35,Far (26–50 km),9–12 yrs,Band 3 – Mid-High,N/A (Still Employed),Outstanding,High,Good,1.848,Low Risk
48,60,Camellia,Deverose,Female,Finance,Developer,Master's,Single,7,49,Female,3,2024,154,4,1,False,,0,0,6–10 yrs,55+,Far (26–50 km),0–2 yrs,Band 2 – Mid-Low,N/A (Still Employed),Average,Very Low,Good,2.698,Medium Risk
49,49,Nixie,Kingerby,Female,Marketing,Data Analyst,PhD,Divorced,18,14,Female,5,2014,138,3,3,False,,0,10,11–20 yrs,46–55,Medium (11–25 km),9–12 yrs,Band 4 – High,N/A (Still Employed),Outstanding,Neutral,Fair,2.378,Medium Risk
50,32,Cindelyn,Gundry,Female,HR,Data Analyst,PhD,Married,13,43,Female,5,2022,157,3,3,False,,0,2,11–20 yrs,26–35,Far (26–50 km),0–2 yrs,Band 4 – High,N/A (Still Employed),Outstanding,Neutral,Fair,2.036,Low Risk
51,25,Godfree,Choppin,Male,Finance,Data Analyst,PhD,Single,12,8,Male,3,2023,171,1,3,False,,0,1,11–20 yrs,18–25,Near (≤10 km),0–2 yrs,Band 3 – Mid-High,N/A (Still Employed),Average,Neutral,Very Poor,2.816,Medium Risk
52,28,Padget,Chetwynd,Male,Operations,HR Specialist,Master's,Divorced,11,12,Male,2,2018,150,2,1,False,,0,6,11–20 yrs,26–35,Medium (11–25 km),6–8 yrs,Band 2 – Mid-Low,N/A (Still Employed),Below Average,Very Low,Poor,3.624,High Risk
53,43,Antons,Haslum,Male,Marketing,HR Specialist,Bachelor's,Single,20,39,Male,4,2020,197,3,4,False,,0,4,11–20 yrs,36–45,Far (26–50 km),3–5 yrs,Band 4 – High,N/A (Still Employed),Good,High,Fair,2.028,Low Risk
54,35,Nedda,Antoshin,Female,Finance,Senior Developer,Master's,Single,14,45,Female,2,2022,117,3,3,False,,0,2,11–20 yrs,26–35,Far (26–50 km),0–2 yrs,Band 3 – Mid-High,N/A (Still Employed),Below Average,Neutral,Fair,2.64,Medium Risk
55,34,Amity,Banger,Female,HR,Senior Developer,Bachelor's,Married,8,12,Female,3,2018,147,2,2,False,,0,6,6–10 yrs,26–35,Medium (11–25 km),6–8 yrs,Band 2 – Mid-Low,N/A (Still Employed),Average,Low,Poor,3.124,High Risk
56,48,Baird,Vearnals,Male,Finance,Senior Developer,Master's,Single,2,1,Male,1,2012,197,4,1,False,5.0,0,12,0–2 yrs,46–55,Near (≤10 km),9–12 yrs,Band 1 – Low,Low Dissatisfaction,Needs Improvement,Very Low,Good,3.602,High Risk
57,57,Dirk,Hickeringill,Male,IT,Marketing Lead,Bachelor's,Divorced,20,36,Male,5,2011,41,5,4,False,,0,13,11–20 yrs,55+,Far (26–50 km),12+ yrs,Band 4 – High,N/A (Still Employed),Outstanding,High,Excellent,1.772,Low Risk
58,56,Ginevra,Manilove,Female,IT,Developer,PhD,Divorced,19,29,Female,4,2021,145,2,4,False,,0,3,11–20 yrs,55+,Far (26–50 km),3–5 yrs,Band 4 – High,N/A (Still Employed),Good,High,Poor,2.208,Low Risk
59,38,Jervis,Golder,Male,Marketing,Developer,Master's,Single,7,21,Male,2,2014,23,1,1,False,,0,10,6–10 yrs,36–45,Medium (11–25 km),9–12 yrs,Band 1 – Low,N/A (Still Employed),Below Average,Very Low,Very Poor,4.092,High Risk
60,40,Eachelle,Pedrollo,Female,Operations,HR Specialist,Master's,Single,18,8,Female,2,2012,165,4,3,False,,0,12,11–20 yrs,36–45,Near (≤10 km),9–12 yrs,Band 4 – High,N/A (Still Employed),Below Average,Neutral,Good,2.816,Medium Risk
61,41,Brannon,Weeks,Male,IT,Senior Developer,Bachelor's,Divorced,10,3,Male,4,2021,130,5,3,False,,0,3,6–10 yrs,36–45,Near (≤10 km),3–5 yrs,Band 3 – Mid-High,N/A (Still Employed),Good,Neutral,Excellent,1.706,Low Risk
62,37,Querida,Beverstock,Female,Sales,Data Analyst,Bachelor's,Single,5,9,Female,5,2013,178,4,1,False,,0,11,3–5 yrs,36–45,Near (≤10 km),9–12 yrs,Band 2 – Mid-Low,N/A (Still Employed),Outstanding,Very Low,Good,2.768,Medium Risk
63,28,Edouard,Godmar,Male,Sales,Data Analyst,Master's,Married,11,37,Male,1,2016,144,5,2,False,,0,8,11–20 yrs,26–35,Far (26–50 km),6–8 yrs,Band 2 – Mid-Low,N/A (Still Employed),Needs Improvement,Low,Excellent,2.924,Medium Risk
64,25,Luca,Lampbrecht,Male,Finance,Developer,Master's,Married,8,14,Male,2,2019,143,5,2,False,,0,5,6–10 yrs,18–25,Medium (11–25 km),3–5 yrs,Band 2 – Mid-Low,N/A (Still Employed),Below Average,Low,Excellent,2.528,Medium Risk
65,47,Chelsie,Jacobovitz,Female,Operations,Developer,PhD,Single,2,42,Female,4,2024,122,4,2,False,,0,0,0–2 yrs,46–55,Far (26–50 km),0–2 yrs,Band 1 – Low,N/A (Still Employed),Good,Low,Good,2.184,Low Risk
66,58,Armand,Creddon,Male,Sales,HR Specialist,Bachelor's,Divorced,9,11,Male,2,2011,91,4,5,False,,0,13,6–10 yrs,55+,Medium (11–25 km),12+ yrs,Band 2 – Mid-Low,N/A (Still Employed),Below Average,Very High,Good,2.272,Low Risk
67,57,Kally,Shutle,Female,Sales,HR Specialist,Bachelor's,Married,5,6,Female,5,2014,78,4,1,False,,0,10,3–5 yrs,55+,Near (≤10 km),9–12 yrs,Band 2 – Mid-Low,N/A (Still Employed),Outstanding,Very Low,Good,2.712,Medium Risk
68,53,Sherry,Shwalbe,Female,HR,Manager,Master's,Single,17,36,Female,5,2013,59,2,2,False,,0,11,11–20 yrs,46–55,Far (26–50 km),9–12 yrs,Band 4 – High,N/A (Still Employed),Outstanding,Low,Poor,3.022,High Risk
69,31,Angelica,Jakuszewski,Female,HR,Manager,Bachelor's,Single,19,17,Female,1,2010,157,3,5,False,,0,14,11–20 yrs,26–35,Medium (11–25 km),12+ yrs,Band 4 – High,N/A (Still Employed),Needs Improvement,Very High,Fair,2.784,Medium Risk
70,25,Simeon,Leads,Male,Sales,HR Specialist,Bachelor's,Single,16,49,Male,4,2017,85,3,2,False,,0,7,11–20 yrs,18–25,Far (26–50 km),6–8 yrs,Band 4 – High,N/A (Still Employed),Good,Low,Fair,2.798,Medium Risk
71,45,Pasquale,Walker,Male,HR,Manager,Bachelor's,Married,7,3,Male,4,2024,72,5,2,False,,0,0,6–10 yrs,36–45,Near (≤10 km),0–2 yrs,Band 2 – Mid-Low,N/A (Still Employed),Good,Low,Excellent,1.856,Low Risk
72,22,Christabella,Hutson,Female,Sales,Developer,Bachelor's,Divorced,3,6,Female,3,2015,94,3,4,False,,0,9,3–5 yrs,18–25,Near (≤10 km),9–12 yrs,Band 1 – Low,N/A (Still Employed),Average,High,Fair,2.412,Medium Risk
73,49,Britney,Hover,Female,Marketing,HR Specialist,Bachelor's,Married,16,8,Female,4,2013,72,4,1,False,,0,11,11–20 yrs,46–55,Near (≤10 km),9–12 yrs,Band 4 – High,N/A (Still Employed),Good,Very Low,Good,2.966,High Risk
74,27,Anett,Askam,Female,HR,HR Specialist,Bachelor's,Divorced,20,33,Female,4,2022,102,4,1,False,4.0,0,2,11–20 yrs,26–35,Far (26–50 km),0–2 yrs,Band 4 – High,Low Dissatisfaction,Good,Very Low,Good,2.566,Medium Risk
75,40,Waldo,Dryburgh,Male,Sales,Senior Developer,Bachelor's,Divorced,3,20,Male,2,2020,69,3,5,False,,0,4,3–5 yrs,36–45,Medium (11–25 km),3–5 yrs,Band 1 – Low,N/A (Still Employed),Below Average,Very High,Fair,2.09,Low Risk
76,60,Davide,Alliberton,Male,Sales,Developer,Master's,Single,6,24,Male,1,2020,126,1,2,False,,0,4,6–10 yrs,55+,Medium (11–25 km),3–5 yrs,Band 1 – Low,N/A (Still Employed),Needs Improvement,Low,Very Poor,3.698,High Risk
77,52,Theo,Harkins,Male,Finance,Developer,Bachelor's,Divorced,17,35,Male,3,2016,90,2,3,False,,0,8,11–20 yrs,46–55,Far (26–50 km),6–8 yrs,Band 4 – High,N/A (Still Employed),Average,Neutral,Poor,2.97,High Risk
78,34,Sashenka,Murie,Female,Operations,Marketing Lead,PhD,Divorced,13,11,Female,4,2016,39,5,3,False,,0,8,11–20 yrs,26–35,Medium (11–25 km),6–8 yrs,Band 3 – Mid-High,N/A (Still Employed),Good,Neutral,Excellent,1.972,Low Risk
79,28,Arty,Pipping,Male,Marketing,Marketing Lead,Master's,Divorced,17,28,Male,2,2016,187,1,5,False,4.0,0,8,11–20 yrs,26–35,Far (26–50 km),6–8 yrs,Band 4 – High,Low Dissatisfaction,Below Average,Very High,Very Poor,2.806,Medium Risk
80,23,Cassey,Gras,Female,Operations,Senior Developer,Master's,Single,12,43,Female,3,2024,71,4,4,False,,0,0,11–20 yrs,18–25,Far (26–50 km),0–2 yrs,Band 3 – Mid-High,N/A (Still Employed),Average,High,Good,1.786,Low Risk
81,35,Sherlock,Quadri,Male,Marketing,Marketing Lead,Bachelor's,Married,16,1,Male,1,2011,123,4,2,True,3.0,1,13,11–20 yrs,26–35,Near (≤10 km),12+ yrs,Band 3 – Mid-High,Moderate Dissatisfaction,Needs Improvement,Low,Good,3.352,High Risk
82,32,Dorelle,Kornousek,Agender,Finance,Manager,Bachelor's,Single,17,16,Non-Binary / Other,1,2024,197,3,4,False,,0,0,11–20 yrs,26–35,Medium (11–25 km),0–2 yrs,Band 3 – Mid-High,N/A (Still Employed),Needs Improvement,High,Fair,2.382,Medium Risk
83,40,Claus,McAdam,Male,Finance,HR Specialist,Bachelor's,Divorced,15,20,Male,1,2014,114,5,2,False,,0,10,11–20 yrs,36–45,Medium (11–25 km),9–12 yrs,Band 3 – Mid-High,N/A (Still Employed),Needs Improvement,Low,Excellent,2.99,High Risk
84,27,Halsey,Lovejoy,Male,Operations,Data Analyst,Master's,Divorced,6,3,Male,3,2024,102,4,2,False,,0,0,6–10 yrs,26–35,Near (≤10 km),0–2 yrs,Band 2 – Mid-Low,N/A (Still Employed),Average,Low,Good,2.306,Low Risk
85,52,Lannie,Feldmann,Male,Finance,Manager,Master's,Single,11,34,Male,5,2014,30,5,5,False,,0,10,11–20 yrs,46–55,Far (26–50 km),9–12 yrs,Band 3 – Mid-High,N/A (Still Employed),Outstanding,Very High,Excellent,1.318,Low Risk
86,29,Deb,Freckelton,Female,IT,Developer,Bachelor's,Single,12,19,Female,3,2019,100,1,2,False,,0,5,11–20 yrs,26–35,Medium (11–25 km),3–5 yrs,Band 3 – Mid-High,N/A (Still Employed),Average,Low,Very Poor,3.338,High Risk
87,41,Kennedy,Bleasdale,Male,Sales,Marketing Lead,Master's,Divorced,17,43,Male,1,2014,153,2,2,False,,0,10,11–20 yrs,36–45,Far (26–50 km),9–12 yrs,Band 3 – Mid-High,N/A (Still Employed),Needs Improvement,Low,Poor,3.786,High Risk
88,47,Kiley,Jeffcoate,Male,IT,Data Analyst,PhD,Divorced,16,35,Male,2,2012,139,5,3,False,,0,12,11–20 yrs,46–55,Far (26–50 km),9–12 yrs,Band 3 – Mid-High,N/A (Still Employed),Below Average,Neutral,Excellent,2.62,Medium Risk
89,52,Thebault,Wellwood,Male,HR,Manager,Bachelor's,Divorced,16,29,Male,3,2019,29,2,1,False,,0,5,11–20 yrs,46–55,Far (26–50 km),3–5 yrs,Band 4 – High,N/A (Still Employed),Average,Very Low,Poor,3.408,High Risk
90,53,Marshal,Finlay,Male,Finance,Developer,Master's,Single,16,9,Male,2,2016,102,3,2,False,,0,8,11–20 yrs,46–55,Near (≤10 km),6–8 yrs,Band 3 – Mid-High,N/A (Still Employed),Below Average,Low,Fair,3.168,High Risk
91,38,Babita,Glowinski,Female,Operations,Marketing Lead,Bachelor's,Single,9,37,Female,5,2020,177,5,1,False,4.0,0,4,6–10 yrs,36–45,Far (26–50 km),3–5 yrs,Band 3 – Mid-High,Low Dissatisfaction,Outstanding,Very Low,Excellent,2.224,Low Risk
92,27,Gareth,Brisley,Male,Sales,HR Specialist,Bachelor's,Married,19,32,Male,1,2024,133,5,4,False,,0,0,11–20 yrs,26–35,Far (26–50 km),0–2 yrs,Band 4 – High,N/A (Still Employed),Needs Improvement,High,Excellent,1.914,Low Risk
93,56,Ralf,Caulier,Male,Sales,HR Specialist,PhD,Divorced,13,45,Male,1,2015,164,2,2,True,1.0,1,9,11–20 yrs,55+,Far (26–50 km),9–12 yrs,Band 2 – Mid-Low,High Dissatisfaction,Needs Improvement,Low,Poor,3.74,High Risk
94,46,Sullivan,Alyonov,Male,HR,Marketing Lead,PhD,Married,19,21,Male,2,2022,68,5,3,False,,0,2,11–20 yrs,46–55,Medium (11–25 km),0–2 yrs,Band 4 – High,N/A (Still Employed),Below Average,Neutral,Excellent,2.092,Low Risk
95,33,Malvina,Peaseman,Female,Operations,HR Specialist,Bachelor's,Single,2,34,Female,5,2019,124,2,4,False,,0,5,0–2 yrs,26–35,Far (26–50 km),3–5 yrs,Band 1 – Low,N/A (Still Employed),Outstanding,High,Poor,2.118,Low Risk
96,45,Celie,Van Saltsberg,Female,Marketing,Senior Developer,PhD,Divorced,7,23,Female,1,2012,117,2,3,False,,0,12,6–10 yrs,36–45,Medium (11–25 km),9–12 yrs,Band 1 – Low,N/A (Still Employed),Needs Improvement,Neutral,Poor,3.546,High Risk
97,46,Sherlocke,Rozenzweig,Male,Sales,Marketing Lead,Master's,Divorced,8,39,Male,3,2020,68,3,3,True,4.0,1,4,6–10 yrs,46–55,Far (26–50 km),3–5 yrs,Band 2 – Mid-Low,Low Dissatisfaction,Average,Neutral,Fair,2.528,Medium Risk
98,45,Joell,Bockmann,Female,Marketing,Senior Developer,Bachelor's,Married,7,35,Female,2,2022,155,1,5,False,,0,2,6–10 yrs,36–45,Far (26–50 km),0–2 yrs,Band 1 – Low,N/A (Still Employed),Below Average,Very High,Very Poor,2.52,Medium Risk
99,33,Kendall,Beane,Male,Operations,Marketing Lead,Bachelor's,Divorced,15,33,Male,5,2013,42,1,3,True,1.0,1,11,11–20 yrs,26–35,Far (26–50 km),9–12 yrs,Band 4 – High,High Dissatisfaction,Outstanding,Neutral,Very Poor,2.966,High Risk
